date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
18721130,Scotland,England,0,0,Friendly,Glasgow,Scotland,FALSE
18730308,England,Scotland,4,2,Friendly,London,England,FALSE
18740307,Scotland,England,2,1,Friendly,Glasgow,Scotland,FALSE
18750306,England,Scotland,2,2,Friendly,London,England,FALSE
18760304,Scotland,England,3,0,Friendly,Glasgow,Scotland,FALSE
18760325,Scotland,Wales,4,0,Friendly,Glasgow,Scotland,FALSE
18770303,England,Scotland,1,3,Friendly,London,England,FALSE
18770305,Wales,Scotland,0,2,Friendly,Wrexham,Wales,FALSE
18780302,Scotland,England,7,2,Friendly,Glasgow,Scotland,FALSE
18780323,Scotland,Wales,9,0,Friendly,Glasgow,Scotland,FALSE
18790118,England,Wales,2,1,Friendly,London,England,FALSE
18790405,England,Scotland,5,4,Friendly,London,England,FALSE
18790407,Wales,Scotland,0,3,Friendly,Wrexham,Wales,FALSE
18800313,Scotland,England,5,4,Friendly,Glasgow,Scotland,FALSE
18800315,Wales,England,2,3,Friendly,Wrexham,Wales,FALSE
18800327,Scotland,Wales,5,1,Friendly,Glasgow,Scotland,FALSE
18810226,England,Wales,0,1,Friendly,Blackburn,England,FALSE
18810312,England,Scotland,1,6,Friendly,London,England,FALSE
18810314,Wales,Scotland,1,5,Friendly,Wrexham,Wales,FALSE
18820218,Northern Ireland,England,0,13,Friendly,Belfast,Ireland,FALSE
18820225,Wales,Northern Ireland,7,1,Friendly,Wrexham,Wales,FALSE
18820311,Scotland,England,5,1,Friendly,Glasgow,Scotland,FALSE
18820313,Wales,England,5,3,Friendly,Wrexham,Wales,FALSE
18820325,Scotland,Wales,5,0,Friendly,Glasgow,Scotland,FALSE
18830203,England,Wales,5,0,Friendly,London,England,FALSE
18830224,England,Northern Ireland,7,0,Friendly,Liverpool,England,FALSE
18830310,England,Scotland,2,3,Friendly,Sheffield,England,FALSE
18830312,Wales,Scotland,0,3,Friendly,Wrexham,Wales,FALSE
18830317,Northern Ireland,Wales,1,1,Friendly,Belfast,Ireland,FALSE
18840126,Northern Ireland,Scotland,0,5,British Championship,Belfast,Ireland,FALSE
18840209,Wales,Northern Ireland,6,0,British Championship,Wrexham,Wales,FALSE
18840223,Northern Ireland,England,1,8,British Championship,Belfast,Ireland,FALSE
18840315,Scotland,England,1,0,British Championship,Glasgow,Scotland,FALSE
18840317,Wales,England,0,4,British Championship,Wrexham,Wales,FALSE
18840329,Scotland,Wales,4,1,British Championship,Glasgow,Scotland,FALSE
18850228,England,Northern Ireland,4,0,British Championship,Manchester,England,FALSE
18850314,England,Wales,1,1,British Championship,Blackburn,England,FALSE
18850314,Scotland,Northern Ireland,8,2,British Championship,Glasgow,Scotland,FALSE
18850321,England,Scotland,1,1,British Championship,London,England,FALSE
18850323,Wales,Scotland,1,8,British Championship,Wrexham,Wales,FALSE
18850411,Northern Ireland,Wales,2,8,British Championship,Belfast,Ireland,FALSE
18851128,USA,Canada,0,1,Friendly,Newark,USA,FALSE
18860227,Wales,Northern Ireland,5,0,British Championship,Wrexham,Wales,FALSE
18860313,Northern Ireland,England,1,6,British Championship,Belfast,Ireland,FALSE
18860320,Northern Ireland,Scotland,2,7,British Championship,Belfast,Ireland,FALSE
18860327,Scotland,England,1,1,British Championship,Glasgow,Scotland,FALSE
18860329,Wales,England,1,3,British Championship,Wrexham,Wales,FALSE
18860410,Scotland,Wales,4,1,British Championship,Glasgow,Scotland,FALSE
